movie_title,tmdb_id,review_count,letterboxd_rating
Happy Birthday to Me,37936,9,3.06 out of 5
Let's Scare Jessica to Death,16154,9,3.50 out of 5
Demon Wind,58899,9,2.61 out of 5
Initiation,143948,9,
The Texas Chain Saw Massacre,30497,9,3.81 out of 5
Malum,1094403,9,
Paganini Horror,67183,9,2.53 out of 5
In the Mouth of Madness,2654,9,
The Slumber Party Massacre,27475,9,3.00 out of 5
The Silence of the Lambs,274,9,4.34 out of 5
Paranormal Activity 3,72571,9,2.67 out of 5
Evil Dead II,765,9,4.02 out of 5
Night of the Lepus,38761,9,2.45 out of 5
Bloody Birthday,55538,9,
Nope,762504,9,
Final Destination 2,9358,9,2.93 out of 5
Hello Mary Lou: Prom Night II,39929,9,3.19 out of 5
A Chinese Ghost Story,30421,9,3.75 out of 5
Bloody New Year,30478,8,2.49 out of 5
Disturbing Behavior,9424,7,2.81 out of 5
Saw,176,7,3.65 out of 5
The Hole in the Ground,484437,4,2.72 out of 5
Black Roses,84289,1,
Apostle,424121,1,3.09 out of 5
