data-object-id,data-original-title,list_entry_id,film_slug,URL,tmdb_id,imdb_id,title,year
filmListEntry:4168953483,"Kill, Baby... Kill! (1966) ",filmListEntry:4168953483,kill-baby-kill,https://letterboxd.com/film/kill-baby-kill/,28049,tt0060794,"Kill, Baby... Kill!",
filmListEntry:4168953484,Terrified (2017) ,filmListEntry:4168953484,terrified-2017,https://letterboxd.com/film/terrified-2017/,489430,tt7549892,Terrified,
filmListEntry:4203756908,Doctor Sleep (2019) ,filmListEntry:4203756908,doctor-sleep,https://letterboxd.com/film/doctor-sleep/,501170,tt5606664,Doctor Sleep,
filmListEntry:4203756909,Cathy's Curse (1977) ,filmListEntry:4203756909,cathys-curse,https://letterboxd.com/film/cathys-curse/,106774,tt0075820,Cathy's Curse,
filmListEntry:4203756910,The Damned (2024) ,filmListEntry:4203756910,the-damned-2024-1,https://letterboxd.com/film/the-damned-2024-1/,850439,tt15010692,The Damned,
filmListEntry:4203756911,Y2K (2024) ,filmListEntry:4203756911,y2k-2024,https://letterboxd.com/film/y2k-2024/,1094274,tt27218960,Y2K,
filmListEntry:4203756912,The Happening (2008) ,filmListEntry:4203756912,the-happening,https://letterboxd.com/film/the-happening/,8645,tt0949731,The Happening,
filmListEntry:4203756913,Motel Hell (1980) ,filmListEntry:4203756913,motel-hell,https://letterboxd.com/film/motel-hell/,30924,tt0081184,Motel Hell,
filmListEntry:4211667993,One Cut of the Dead (2017) ,filmListEntry:4211667993,one-cut-of-the-dead,https://letterboxd.com/film/one-cut-of-the-dead/,513434,tt7914416,One Cut of the Dead,
filmListEntry:4231827126,Brainscan (1994) ,filmListEntry:4231827126,brainscan,https://letterboxd.com/film/brainscan/,14237,tt0109327,Brainscan,
filmListEntry:4231827219,Wake in Fright (1971) ,filmListEntry:4231827219,wake-in-fright,https://letterboxd.com/film/wake-in-fright/,26405,tt0067541,Wake in Fright,
filmListEntry:4234213531,Hagazussa (2017) ,filmListEntry:4234213531,hagazussa,https://letterboxd.com/film/hagazussa/,466565,tt7323600,Hagazussa,
filmListEntry:4247619276,"Suffer, Little Children (1983) ",filmListEntry:4247619276,suffer-little-children,https://letterboxd.com/film/suffer-little-children/,216187,tt0457148,"Suffer, Little Children",
filmListEntry:4254791202,Critters (1986) ,filmListEntry:4254791202,critters,https://letterboxd.com/film/critters/,3980,tt0090887,Critters,
filmListEntry:4305546566,Ghoulies (1985) ,filmListEntry:4305546566,ghoulies,https://letterboxd.com/film/ghoulies/,18498,tt0089200,Ghoulies,
filmListEntry:4305546567,28 Weeks Later (2007) ,filmListEntry:4305546567,28-weeks-later,https://letterboxd.com/film/28-weeks-later/,1562,tt0463854,28 Weeks Later,
filmListEntry:4305546568,Poltergeist (1982) ,filmListEntry:4305546568,poltergeist,https://letterboxd.com/film/poltergeist/,609,tt0084516,Poltergeist,
filmListEntry:4305546569,13th Child (2002) ,filmListEntry:4305546569,13th-child,https://letterboxd.com/film/13th-child/,29922,tt0273041,13th Child,
filmListEntry:4305546570,Body Melt (1993) ,filmListEntry:4305546570,body-melt,https://letterboxd.com/film/body-melt/,22455,tt0106450,Body Melt,
filmListEntry:4314391113,Xtro (1982) ,filmListEntry:4314391113,xtro,https://letterboxd.com/film/xtro/,25834,tt0086610,Xtro,
