data-object-id,data-original-title,list_entry_id,film_slug,URL
filmListEntry:4398514599,"The Devonsville Terror (1983) ",filmListEntry:4398514599,the-devonsville-terror,https://letterboxd.com/film/the-devonsville-terror/
filmListEntry:4398514600,"Slaughter High (1986) ",filmListEntry:4398514600,slaughter-high,https://letterboxd.com/film/slaughter-high/
filmListEntry:4398514601,"Fréwaka (2024) ",filmListEntry:4398514601,frewaka,https://letterboxd.com/film/frewaka/
filmListEntry:4414805968,"Bride of Frankenstein (1935) ",filmListEntry:4414805968,bride-of-frankenstein,https://letterboxd.com/film/bride-of-frankenstein/
filmListEntry:4437461164,"Frogman (2023) ",filmListEntry:4437461164,frogman-2023,https://letterboxd.com/film/frogman-2023/
filmListEntry:4461886314,"The Blob (1988) ",filmListEntry:4461886314,the-blob-1988,https://letterboxd.com/film/the-blob-1988/
filmListEntry:4461886315,"Halloween: Resurrection (2002) ",filmListEntry:4461886315,halloween-resurrection,https://letterboxd.com/film/halloween-resurrection/
filmListEntry:4461886316,"The Houses October Built (2014) ",filmListEntry:4461886316,the-houses-october-built,https://letterboxd.com/film/the-houses-october-built/
filmListEntry:4486840650,"A Chinese Ghost Story (1987) ",filmListEntry:4486840650,a-chinese-ghost-story,https://letterboxd.com/film/a-chinese-ghost-story/
filmListEntry:4486840651,"Phenomena (1985) ",filmListEntry:4486840651,phenomena,https://letterboxd.com/film/phenomena/
filmListEntry:4506949740,"Izvod: Witch's Swamp (2025) ",filmListEntry:4506949740,izvod-witchs-swamp,https://letterboxd.com/film/izvod-witchs-swamp/
filmListEntry:4515829401,"Night Killer (1990) ",filmListEntry:4515829401,night-killer,https://letterboxd.com/film/night-killer/
filmListEntry:4515829402,"They Live (1988) ",filmListEntry:4515829402,they-live,https://letterboxd.com/film/they-live/
filmListEntry:4543253388,"Gremlins 2: The New Batch (1990) ",filmListEntry:4543253388,gremlins-2-the-new-batch,https://letterboxd.com/film/gremlins-2-the-new-batch/
filmListEntry:4560081620,"Tumbbad (2018) ",filmListEntry:4560081620,tumbbad,https://letterboxd.com/film/tumbbad/
filmListEntry:4587998631,"Horror in the High Desert (2021) ",filmListEntry:4587998631,horror-in-the-high-desert,https://letterboxd.com/film/horror-in-the-high-desert/
filmListEntry:4587999274,"The Woman in Cabin 10 (2025) ",filmListEntry:4587999274,the-woman-in-cabin-10,https://letterboxd.com/film/the-woman-in-cabin-10/
